电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
锁定目标,19000,4,141,1,31,,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：东亚大酒店承接了“城环峰会”代表团接待任务，没想到总裁胡振海却接到了一个威胁电话，让酒店拒绝接待代表团，否则就炸掉酒店。案情紧急，政治影响大，为保证“城环峰会”能按时在本市安全举办，为此成立专案组进行侦破，队长陈剑刚马上进入调查。谁知对方气焰十分嚣张，又将胡振海女儿胡心心绑架，继续威胁酒店，并索要200万元赎金，在调查中，陈剑刚发现了胡心心的男友竟是东亚酒店副总经理于杰，而于杰又暗地里在追求胡总裁的女秘书金蓝。面对错综复杂的重重迷雾，陈剑刚十分冷静，他心中早已锁定目标，几经较量，最终揭开了酒店内在黑幕，...,
家国恩仇记,93000,56,278,12,85,剧情,暂无评分,评分人数不足,已完结, 全50集,0,0,简介：民国时期，军阀混战，匪患猖獗。富家子弟林定邦调查家门被灭真相，发现是儿时伙伴马皓天的父亲勾结土匪所为。林定邦为报仇雪恨，跟马皓天彻底决裂。多年以后再相见，马皓天已是奉天警察局局长，而林定邦也已秘密加入中国共产党，是中共满洲省委的负责人之一。一九三一年九月十八日，日军侵华，东三省沦陷。马皓天变节投敌，站在国家和人民对立面。面对国恨家仇，林定邦在中国共产党的领导下，拉起一支抗日武装，跟马皓天展开漫长而又艰苦卓绝的斗争。两人针锋相对，明争暗斗。在白山黑水之间，在血和泪的洗礼中，林定邦由一个锦衣玉食的富家子...,
富滇风云,36000,63,398,19,79,剧情历史,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：在美国留学的双料学士邓天泽回昆明祭母，不幸亲见哥哥被人暗杀。为查出哥哥真正死因，邓天泽被卷入云南上层军阀和各种势力的争斗中。他本想明哲保身，全身而退，却发现云南的经济一蹶不振，命运堪忧。为了成就对父母兄长的孝悌之心，以及对全云南百姓的忠义之心，邓天泽利用所学矿冶知识，把大锡精炼成功，直接出口进入国际贸易，改变了云锡几千年来落后亏损的局面。这直接影响到法国人的利益，他们百般刁难，但邓天泽不屈不挠，终于打赢了这场“白银战争”，也令他众望所归地去挽救云南唯一的省银行——护滇银行。他临危受命，排除万难，机智...,
神医传奇,189000,1296,2987,54,467,剧情,暂无评分,评分人数不足,已完结, 全50集,0,2,简介：战国时期，一场变故让赵国公主半夏沦为孤儿。她流落民间，结识神医苍术的两个徒弟狗宝和独活，以及巫医葛根的女儿丁香。四个人青梅竹马，一起长大。半夏的恋人独活医术高超，但贪恋荣华，背信弃义。半夏逐渐发现狗宝才是她一生所爱。狗宝出身卑贱，擅出奇招看病，一生理想只在悬壶济世。可命运一次又一次把他拖入危机中。狗宝坚守正义，固守医道，在丁香、葛根、半夏以及几个徒弟的帮助下，潜心研修医术，用神奇的医术多次挫败独活的阴谋。独活多行不义必自毙。狗宝最终也实现人生理想，远离恩怨是非，带着恋人丁香游历民间，终生为百姓治病，...,
刀尖舞者,373000,1,1024,62,362,战争剧情历史,暂无评分,评分人数不足,已完结, 全36集,0,0,简介：1937年12月，日军攻克南京，制造了“南京大屠杀”惨案。为实现“三个月亡华”的野心，日军进攻武汉。我军地下党员、国军中校古剑锋在执行刺杀冈村宁次的任务中牺牲。其妻白浪受组织委派，带队营救从南京逃到武汉的握有南京大屠杀影像资料的两个美国医生，经过与日军特务机关生死较量，圆满完成任务。白浪小队又先后接受了除掉日军驻武汉总司令并夺回国宝、粉碎日军与国民党投降派谈判阴谋、炸毁日军大规模杀伤性武器库、营救美军飞行员、勇闯日军101实验所等任务。白浪小分队团结抗日力量，与日军驻武汉特务机关展开了一次又一次的生死较量，最...,
我有一个梦,67000,66,298,19,127,剧情,暂无评分,评分人数不足,已完结, 全55集,1,0,简介：《我有一个梦》，讲述江南普通百姓在波澜壮阔的时代背景下面对社会动乱变迁而坚持梦想，艰苦打拼的故事。主人公叶春儿因家庭的变故辍学后从临时工、苦力活、摆小摊开始，用辛勤的劳动和不懈的坚持，养育早逝的父母撇下的弟弟妹妹们。但是，生活总是诸多的磨难，在创业的过程中，她屡遭重创，爱情、婚姻、亲情也因各种原因出现了危机。但是在自己内心深处的那个梦想的感召下，她没有被任何困难击倒，于是在经历丈夫的意外身亡、婆婆对其的恨之入骨、亲自带大的二弟误入歧途、小妹叛逆堕落等一系列的打击下，叶春儿选择重新站起来继续努力奋斗，...,
兔子机场,109000,10,1118,112,3048,少儿搞笑,暂无评分,评分人数不足,已完结, 全26话,0,3,简介：《兔子机场》是一部法国快节奏的喜剧。该片中的所有动物，甚至河马都能飞。奈德和弗雷德这对兔兄弟也会飞，只是他们的姿势没有其他人那样的优雅。奈德和弗雷德这对兔兄弟决定要开一个机场。他们兄弟俩在一群永不停息的飞行生物中，肩负着重大的则责。奈德总是把这些责任留给弗雷德，这样他就可以专注于想办法来让机场变得更有趣一些。幸运的是，他们的朋友总能够及时给予他们帮助。Cookie，一个爱八卦的小松鼠，拥有温暖而热情的声音；Moppet，一个精力充沛的青年鹿实习生；Hughes，一个聪明、多情、目光短浅、又令人费解的老狼。每当奈德和弗...,
青年霍元甲之威震津门,236000,111,659,46,276,剧情,暂无评分,评分人数不足,已完结, 全39集,0,2,简介：霍元甲进入天津城后，开始接触进步思想，认识到民族存亡是大事，继续惩恶扬善，消灭海匪，挫败日本人的阴谋，整合津门的门派之争，救护抗击八国联军的英雄，打败俄罗斯大力士，成为津门爱国义士的一面旗帜。,
看不懂你的心,17000,--,178,--,28,剧情情感,暂无评分,评分人数不足,已完结, 全22集,0,0,简介：这是一部描写三个知识女性追求爱情生活所遣遇的不同悲情命运,令人反省和深思善良美丽的女记者杨青青面对父亲杨教授几个弟子的追求,弃“羞羞答答”的“君子李子衿,而嫁给善于讨好的郑忠义。但在郑走上了制黄贩黄的道路,让丈夫悔过自新的希望次次破灭后,杨青青只得重新选择天生丽质的电视主持人江枫有个对她百依百顺的文夫,但她不甘平静的生,
我把忠诚献给你,325000,335,832,44,386,战争剧情历史,暂无评分,评分人数不足,已完结, 全46集,0,2,简介：关大河是冀鲁豫某军分区的一名连长，智勇双全，在一次乔装执行侦察任务的战斗中，为保护战友杀入重围身负重伤，醒来后误被敌军阴差阳错认作伪军中队长。在一次又一次残酷的大扫荡中，由于叛徒的出卖和敌特的阴谋，关大河承受着失去组织联系、甚至连生死与共的战友都无法信任的痛苦，但关大河没有丧失革命斗志，虽然只剩下孤身一人，他以一个八路军战士对党和组织的无限忠诚，在敌营出生入死默默战斗。他像一个孤胆英雄，救战友，杀敌寇，策划战俘营暴动，解救了许多我军的战士，使敌人闻风丧胆。他怀着把忠诚献给党献给战友的至死不渝的信念，...,
